ticket,source,direction,open_time,entry,tp_pts_used,orig_net,latest_net,latest_exit,delta,orig_exit,limit_offset,filled
80448388,market,sell,2026.05.15 13:53:37,4572.0,10.0,14.82,9.82,tp,-5.0,tp,,
80421906,market,buy,2026.05.15 12:11:00,4548.31,10.0,-5.1,-5.18,sl,-0.08000000000000007,sl,,
80421870,market,buy,2026.05.15 12:10:59,4549.0,20.0,-5.79,-5.18,sl,0.6100000000000003,sl,,
80421844,market,buy,2026.05.15 12:10:22,4550.03,10.0,-6.819999999999999,-5.18,sl,1.6399999999999997,sl,,
80418578,market,sell,2026.05.15 10:19:26,4586.5,10.0,80.71,10.06,tp,-70.64999999999999,tp,,
80418545,market,sell,2026.05.15 10:13:56,4585.48,10.0,19.3,9.82,tp,-9.48,tp,,
80418520,market,sell,2026.05.15 10:12:57,4584.5,10.0,12.700000000000001,9.82,tp,-2.880000000000001,other,,
80245151,market,buy,2026.05.15 07:44:35,4604.7,10.0,-4.359999999999999,-5.18,sl,-0.8200000000000003,sl,,
80245141,market,buy,2026.05.15 07:43:48,4605.7,20.0,-5.359999999999999,-5.18,sl,0.17999999999999972,sl,,
80245114,market,buy,2026.05.15 07:43:41,4606.7,10.0,-6.359999999999999,-5.18,sl,1.1799999999999997,sl,,
79876179,market,buy,2026.05.15 03:40:22,4618.7,10.0,-4.26,-4.259999999999927,time,7.283063041541027e-14,sl,,
79876120,market,buy,2026.05.15 03:39:30,4619.7,20.0,-5.26,-5.18,sl,0.08000000000000007,sl,,
79876063,market,buy,2026.05.15 03:39:12,4620.97,10.0,-6.529999999999999,-5.18,sl,1.3499999999999996,sl,,
80324218,market,buy,2026.05.14 22:38:47,4660.7,10.0,-5.18,-5.18,sl,0.0,sl,,
80324238,market,buy,2026.05.14 22:38:47,4659.7,20.0,-4.18,-5.18,sl,-1.0,sl,,
80324165,market,buy,2026.05.14 22:32:48,4661.7,10.0,-6.18,-5.18,sl,1.0,sl,,
80301887,market,buy,2026.05.14 16:40:28,4677.75,30.0,-4.4399999999999995,-4.440000000000218,time,-2.184918912462308e-13,sl,,
80301856,market,buy,2026.05.14 16:40:27,4678.74,20.0,-5.43,-5.43,time,0.0,sl,,
80301823,market,buy,2026.05.14 16:40:17,4679.7,10.0,-6.39,9.82,tp,16.21,sl,,
80244860,market,sell,2026.05.14 10:36:55,4718.5,30.0,93.71,30.06,tp,-63.64999999999999,tp,,
80244845,market,sell,2026.05.14 10:36:54,4717.48,20.0,30.45,19.82,tp,-10.629999999999999,tp,,
80244821,market,sell,2026.05.14 10:36:34,4716.49,10.0,15.36,9.82,tp,-5.539999999999999,tp,,
80211882,market,sell,2026.05.13 19:24:41,4709.5,20.0,40.18,20.53,tp,-19.65,tp,,
80211825,market,sell,2026.05.13 19:24:33,4708.5,10.0,14.47,9.82,tp,-4.65,tp,,
80181909,market,buy,2026.05.13 15:30:01,4682.0,20.0,-5.279999999999999,-5.2800000000003635,time,-3.6415315207705135e-13,sl,,
80181933,market,buy,2026.05.13 15:30:01,4681.0,30.0,-4.279999999999999,-4.2800000000003635,time,-3.6415315207705135e-13,sl,,
80181890,market,buy,2026.05.13 15:30:01,4683.0,10.0,-6.279999999999999,-5.18,sl,1.0999999999999996,sl,,
80165911,market,sell,2026.05.13 09:15:57,4713.46,10.0,0.6000000000000001,0.5999999999997454,time,-2.546851618490109e-13,other,,
80125574,market,sell,2026.05.12 21:26:15,4685.0,10.0,-4.2299999999999995,-5.18,sl,-0.9500000000000002,sl,,
80125565,market,sell,2026.05.12 21:20:39,4684.0,10.0,-5.2299999999999995,-5.18,sl,0.04999999999999982,sl,,
80125540,market,sell,2026.05.12 21:01:41,4683.0,10.0,-6.2299999999999995,-5.18,sl,1.0499999999999998,sl,,
80094932,market,buy,2026.05.12 18:17:29,4663.0,10.0,-5.199999999999999,-5.18,sl,0.019999999999999574,sl,,
80094836,market,buy,2026.05.12 18:12:10,4666.0,10.0,-8.2,-5.18,sl,3.0199999999999996,sl,,
80094735,market,buy,2026.05.12 18:02:00,4669.0,10.0,-11.2,-5.18,sl,6.02,sl,,
79992888,market,buy,2026.05.12 16:16:43,4681.14,30.0,14.98,14.979999999999855,time,-1.4566126083082054e-13,tp,,
79992862,market,buy,2026.05.12 16:16:42,4682.0,20.0,-5.3,-5.18,sl,0.1200000000000001,sl,,
79992845,market,buy,2026.05.12 16:16:41,4683.0,10.0,-6.3,9.82,tp,16.12,sl,,
79976999,market,buy,2026.05.12 09:23:40,4698.0,20.0,-4.449999999999999,-5.18,sl,-0.7300000000000004,sl,,
79976928,market,buy,2026.05.12 09:23:37,4699.29,10.0,-5.739999999999999,-5.18,sl,0.5599999999999996,sl,,
79976724,market,buy,2026.05.12 09:22:37,4700.1,10.0,-6.55,-5.18,sl,1.37,sl,,
79938994,market,buy,2026.05.11 12:33:26,4652.0,20.0,39.65,19.25,tp,-20.4,sl,,
79938972,market,buy,2026.05.11 12:33:18,4653.0,10.0,66.97,9.82,tp,-57.15,tp,,
79938952,market,buy,2026.05.11 12:32:25,4654.0,10.0,13.84,9.82,tp,-4.02,tp,,
79818306,market,buy,2026.05.11 08:55:28,4652.0,10.0,-3.21,-3.2099999999997455,time,2.544631172440859e-13,sl,,
79818283,market,buy,2026.05.11 08:52:24,4653.07,20.0,-4.279999999999999,-5.18,sl,-0.9000000000000004,sl,,
79818244,market,buy,2026.05.11 08:52:07,4654.0,10.0,-5.21,-5.18,sl,0.03000000000000025,sl,,
79836186,market,buy,2026.05.11 01:05:00,4687.03,10.0,-6.239999999999999,-5.18,sl,1.0599999999999996,sl,,
79836288,market,buy,2026.05.11 01:05:00,4685.71,30.0,-4.92,-5.18,sl,-0.2599999999999998,sl,,
79836262,market,buy,2026.05.11 01:05:00,4687.03,20.0,-6.239999999999999,-5.18,sl,1.0599999999999996,sl,,
79850592,market,buy,2026.05.08 18:18:47,4705.0,10.0,9.63,9.82,tp,0.1899999999999995,other,,
79850579,market,buy,2026.05.08 18:14:04,4710.0,10.0,5.2700000000000005,-5.18,sl,-10.45,other,,
79850557,market,buy,2026.05.08 17:49:06,4715.0,10.0,0.18,-5.18,sl,-5.359999999999999,other,,
79775357,market,buy,2026.05.08 10:25:36,4698.0,10.0,32.93,9.82,tp,-23.11,tp,,
79775314,market,buy,2026.05.08 10:25:36,4698.0,20.0,14.870000000000001,14.870000000000182,time,1.8118839761882555e-13,tp,,
79793300,market,buy,2026.05.08 10:14:56,4716.0,10.0,-3.31,-5.18,sl,-1.8699999999999997,sl,,
79793237,market,buy,2026.05.08 10:14:56,4716.0,20.0,-3.31,-5.18,sl,-1.8699999999999997,sl,,
79688657,market,buy,2026.05.08 01:45:33,4684.8,10.0,30.36,9.82,tp,-20.54,other,,
79688613,market,buy,2026.05.07 20:27:10,4689.8,20.0,24.3,19.25,tp,-5.050000000000001,other,,
79688544,market,buy,2026.05.07 20:27:02,4694.8,10.0,-9.17,8.68,tp,17.85,sl,,
79679447,market,buy,2026.05.07 19:19:10,4705.0,10.0,-5.39,9.82,tp,15.21,sl,,
79679467,market,buy,2026.05.07 19:19:10,4705.0,20.0,-5.39,-5.18,sl,0.20999999999999996,sl,,
79679373,market,buy,2026.05.07 19:10:53,4715.0,10.0,-5.35,-5.18,sl,0.16999999999999993,sl,,
79679412,market,buy,2026.05.07 19:10:53,4715.0,20.0,-5.35,-5.18,sl,0.16999999999999993,sl,,
79638002,market,buy,2026.05.07 03:42:45,4687.0,10.0,9.870000000000001,9.82,tp,-0.05000000000000071,tp,,
79638013,market,buy,2026.05.07 03:42:45,4687.0,20.0,12.61,19.82,tp,7.210000000000001,sl,,
79583777,market,buy,2026.05.06 15:15:11,4670.5,10.0,-7.199999999999999,9.82,tp,17.02,sl,,
79583814,market,buy,2026.05.06 15:15:11,4668.5,20.0,-5.199999999999999,-5.200000000000436,time,-4.369837824924616e-13,sl,,
79583739,market,buy,2026.05.06 15:14:35,4672.5,10.0,-9.2,-5.18,sl,4.02,sl,,
79477773,market,buy,2026.05.05 19:31:19,4556.0,10.0,-5.81,-5.75,sl,0.05999999999999961,sl,,
79477753,market,buy,2026.05.05 19:25:12,4561.0,10.0,-10.81,-5.75,sl,5.0600000000000005,sl,,
79500023,market,buy,2026.05.05 19:03:24,4566.0,10.0,-15.81,-5.75,sl,10.06,sl,,
79477728,market,buy,2026.05.05 15:47:00,4566.14,10.0,17.78,9.82,tp,-7.960000000000001,tp,,
79378946,market,sell,2026.05.05 14:42:41,4564.0,10.0,-5.2299999999999995,-5.18,sl,0.04999999999999982,sl,,
79378889,market,sell,2026.05.05 11:57:03,4559.0,10.0,-10.23,9.82,tp,20.05,sl,,
79378860,market,sell,2026.05.05 10:04:39,4554.0,10.0,-15.23,9.82,tp,25.05,sl,,
79412856,market,sell,2026.05.05 05:43:00,4544.0,10.0,-5.699999999999999,9.82,tp,15.52,sl,,
79412791,market,sell,2026.05.05 04:14:12,4539.0,10.0,-10.7,-5.18,sl,5.52,sl,,
79412761,market,sell,2026.05.05 04:04:38,4534.0,10.0,-15.7,-5.18,sl,10.52,sl,,
79373623,market,buy,2026.05.04 16:31:53,4556.0,10.0,26.05,9.82,tp,-16.23,tp,,
79373559,market,buy,2026.05.04 16:04:30,4561.0,10.0,-11.09,9.82,tp,20.91,sl,,
79373492,market,buy,2026.05.04 16:02:49,4564.61,10.0,-14.7,9.82,tp,24.52,sl,,
79352779,market,buy,2026.05.04 13:18:22,4536.0,10.0,-5.489999999999999,-5.18,sl,0.3099999999999996,sl,,
79352277,market,buy,2026.05.04 13:14:05,4539.06,10.0,-8.549999999999999,-5.18,sl,3.369999999999999,sl,,
79341106,market,buy,2026.05.04 13:08:07,4544.0,10.0,-5.31,-5.18,sl,0.1299999999999999,sl,,
79341083,market,buy,2026.05.04 13:05:32,4549.0,10.0,-10.31,-5.18,sl,5.130000000000001,sl,,
79341043,market,buy,2026.05.04 13:04:05,4554.0,10.0,-15.31,-5.18,sl,10.13,sl,,
79290802,market,buy,2026.05.04 11:04:48,4576.0,10.0,-5.449999999999999,-5.18,sl,0.2699999999999996,sl,,
79290745,market,buy,2026.05.04 10:55:39,4581.0,10.0,-10.45,-5.18,sl,5.27,sl,,
79290713,market,buy,2026.05.04 09:38:54,4586.0,10.0,-15.45,-5.18,sl,10.27,sl,,
79139231,market,sell,2026.05.01 17:15:31,4660.0,10.0,10.63,9.82,tp,-0.8100000000000005,other,,
79139216,market,sell,2026.05.01 17:12:51,4658.0,30.0,15.15,15.149999999999928,time,-7.283063041541027e-14,other,,
79139168,market,sell,2026.05.01 17:12:41,4656.0,30.0,68.65999999999998,30.06,tp,-38.59999999999998,other,,
79130984,market,sell,2026.05.01 17:12:36,4653.8,30.0,-5.92,-5.18,sl,0.7400000000000002,sl,,
79130953,market,sell,2026.05.01 17:12:24,4652.0,20.0,-7.72,-5.18,sl,2.54,sl,,
79130914,market,sell,2026.05.01 17:12:20,4649.63,10.0,-10.09,-5.18,sl,4.91,sl,,
79186729,market,buy,2026.05.01 12:54:54,4561.56,10.0,-11.31,9.25,tp,20.560000000000002,sl,,
79186716,market,buy,2026.05.01 11:52:16,4566.0,10.0,15.969999999999999,-5.18,sl,-21.15,tp,,
79224117,market,buy,2026.05.01 11:21:04,4571.21,10.0,-0.22999999999999998,-5.18,sl,-4.949999999999999,other,,
79124039,market,buy,2026.05.01 11:10:49,4575.0,10.0,-5.34,-5.18,sl,0.16000000000000014,sl,,
79123994,market,buy,2026.05.01 10:54:59,4580.0,10.0,-10.34,-5.18,sl,5.16,sl,,
79123936,market,buy,2026.05.01 10:33:51,4585.01,10.0,-15.35,-5.18,sl,10.17,sl,,
79113633,market,sell,2026.04.30 11:04:12,4614.0,30.0,-5.529999999999999,-5.18,sl,0.34999999999999964,sl,,
79113579,market,sell,2026.04.30 11:04:07,4612.0,20.0,-7.529999999999999,-5.18,sl,2.3499999999999996,sl,,
79113544,market,sell,2026.04.30 11:04:06,4610.0,10.0,-9.53,-5.18,sl,4.35,sl,,
79091690,market,sell,2026.04.30 09:55:16,4585.7,10.0,-5.199999999999999,-5.18,sl,0.019999999999999574,sl,,
79091659,market,sell,2026.04.30 09:54:47,4583.7,10.0,-7.199999999999999,-5.18,sl,2.0199999999999996,sl,,
79091614,market,sell,2026.04.30 09:52:49,4581.7,10.0,-9.2,-5.18,sl,4.02,sl,,
79050488,market,sell,2026.04.30 04:28:27,4577.7,30.0,-5.18,29.82,tp,35.0,sl,,
79050445,market,sell,2026.04.30 04:28:03,4576.62,20.0,15.450000000000001,-5.18,sl,-20.630000000000003,tp,,
79050398,market,sell,2026.04.30 04:28:01,4575.7,10.0,-7.18,-5.18,sl,2.0,sl,,
79050268,market,buy,2026.04.29 21:07:03,4536.0,10.0,-5.199999999999999,-5.18,sl,0.019999999999999574,sl,,
79050256,market,buy,2026.04.29 21:06:41,4538.0,10.0,-7.199999999999999,-5.18,sl,2.0199999999999996,sl,,
79050235,market,buy,2026.04.29 21:00:19,4540.0,10.0,-9.2,-5.18,sl,4.02,sl,,
79043849,market,sell,2026.04.29 19:03:17,4560.5,10.0,13.65,9.82,tp,-3.83,other,,
79043761,market,sell,2026.04.29 18:45:41,4558.5,20.0,15.32,15.32,time,0.0,tp,,
79043448,market,sell,2026.04.29 18:45:20,4556.49,10.0,-8.07,10.530000000000001,tp,18.6,sl,,
79031835,market,sell,2026.04.29 17:35:45,4542.0,10.0,-7.1899999999999995,-5.18,sl,2.01,sl,,
79035192,market,sell,2026.04.29 17:26:48,4533.59,10.0,-15.6,-5.18,sl,10.42,sl,,
79031745,market,sell,2026.04.29 17:16:30,4530.0,10.0,-7.1899999999999995,-5.18,sl,2.01,sl,,
78852776,market,buy,2026.04.29 16:20:08,4538.0,30.0,-4.4399999999999995,-5.18,sl,-0.7400000000000002,sl,,
78852748,market,buy,2026.04.29 16:20:03,4540.0,20.0,-6.4399999999999995,-5.18,sl,1.2599999999999998,sl,,
78852720,market,buy,2026.04.29 16:20:02,4542.19,10.0,-8.629999999999999,-5.18,sl,3.4499999999999993,sl,,
78883023,market,sell,2026.04.29 03:08:55,4608.0,10.0,14.92,9.82,tp,-5.1,tp,,
78882944,market,sell,2026.04.29 03:04:02,4606.0,10.0,31.82,9.82,tp,-22.0,tp,,
78882865,market,sell,2026.04.29 03:01:07,4604.0,10.0,21.830000000000002,-4.47,sl,-26.3,sl,,
78874218,market,sell,2026.04.28 15:46:07,4591.0,20.0,-5.21,-5.18,sl,0.03000000000000025,sl,,
78874136,market,sell,2026.04.28 15:46:00,4589.0,10.0,-7.21,-5.18,sl,2.0300000000000002,sl,,
78874050,market,sell,2026.04.28 15:42:21,4586.67,10.0,-9.54,-5.18,sl,4.359999999999999,sl,,
78666478,market,buy,2026.04.28 09:23:28,4623.8,10.0,-4.239999999999999,9.82,tp,14.059999999999999,sl,,
78666464,market,buy,2026.04.28 08:44:38,4625.83,10.0,14.02,9.82,tp,-4.199999999999999,tp,,
78666431,market,buy,2026.04.28 08:43:24,4627.8,10.0,-8.24,9.82,tp,18.060000000000002,sl,,
78780411,market,sell,2026.04.28 02:49:27,4694.99,10.0,-4.39,-5.18,sl,-0.79,sl,,
78780449,market,sell,2026.04.28 02:36:30,4693.0,10.0,-6.38,-5.18,sl,1.2000000000000002,sl,,
78780458,market,sell,2026.04.28 01:10:41,4691.09,10.0,-8.29,-5.18,sl,3.1099999999999994,sl,,
78666407,market,sell,2026.04.27 06:44:01,4729.4,10.0,14.01,9.82,tp,-4.1899999999999995,other,,
78596708,market,sell,2026.04.24 17:09:18,4728.28,10.0,-4.21,-5.18,sl,-0.9699999999999998,sl,,
78596626,market,sell,2026.04.24 17:05:45,4726.3,20.0,-6.1899999999999995,-5.18,sl,1.0099999999999998,sl,,
78596407,market,sell,2026.04.24 17:05:42,4724.3,10.0,-8.19,-5.18,sl,3.01,sl,,
78471422,market,sell,2026.04.23 15:43:33,4742.5,10.0,13.870000000000001,9.82,tp,-4.050000000000001,tp,,
78471395,market,sell,2026.04.23 15:31:01,4740.5,10.0,34.1,9.82,tp,-24.28,other,,
78471370,market,sell,2026.04.23 15:06:35,4738.39,10.0,29.72,10.06,tp,-19.659999999999997,other,,
78471356,market,sell,2026.04.23 15:03:02,4732.43,10.0,-4.39,-5.18,sl,-0.79,sl,,
78471312,market,sell,2026.04.23 15:01:50,4730.5,20.0,-6.319999999999999,-5.18,sl,1.1399999999999997,sl,,
78471292,market,sell,2026.04.23 15:01:44,4728.5,10.0,-8.32,-5.18,sl,3.1400000000000006,sl,,
78382736,market,sell,2026.04.23 03:52:06,4752.0,10.0,13.870000000000001,9.82,tp,-4.050000000000001,tp,,
78382746,market,sell,2026.04.23 03:30:18,4750.0,10.0,40.79,9.82,tp,-30.97,other,,
78291044,market,buy,2026.04.23 03:15:18,4697.0,10.0,39.6,9.82,tp,-29.78,other,,
78291024,market,buy,2026.04.23 03:14:57,4699.0,20.0,13.82,-5.18,sl,-19.0,tp,,
78291013,market,buy,2026.04.23 03:14:49,4701.14,10.0,-8.33,-5.18,sl,3.1500000000000004,sl,,
78244488,market,buy,2026.04.21 22:44:08,4673.0,10.0,-4.31,9.82,tp,14.129999999999999,sl,,
78244465,market,buy,2026.04.21 22:43:40,4675.0,20.0,-6.31,-6.310000000000109,time,-1.092459456231154e-13,sl,,
78244410,market,buy,2026.04.21 22:43:16,4677.72,10.0,-9.03,-5.18,sl,3.8499999999999996,sl,,
78084971,market,buy,2026.04.21 15:30:34,4769.74,10.0,-7.9399999999999995,9.82,tp,17.759999999999998,sl,,
78084939,market,buy,2026.04.21 09:02:59,4776.26,10.0,-14.459999999999999,9.82,tp,24.28,sl,,
78084749,market,buy,2026.04.21 09:00:07,4783.26,10.0,-21.46,-5.18,sl,16.28,sl,,
77954482,market,buy,2026.04.17 23:11:31,4845.05,10.0,-3.39,-5.18,sl,-1.7899999999999996,sl,,
77954454,market,buy,2026.04.17 23:11:31,4845.05,20.0,-3.39,-5.18,sl,-1.7899999999999996,sl,,
77654618,market,buy,2026.04.17 20:24:38,4855.0,10.0,8.870000000000001,9.82,tp,0.9499999999999993,tp,,
77954382,market,buy,2026.04.17 20:24:38,4855.0,20.0,-3.37,-5.18,sl,-1.8099999999999996,sl,,
77838392,market,buy,2026.04.17 04:12:22,4770.0,30.0,19.92,19.920000000000364,time,3.623767952376511e-13,tp,,
77838405,market,buy,2026.04.17 04:12:22,4770.0,30.0,6.21,6.210000000000328,time,3.277378368693462e-13,other,,
77838454,market,buy,2026.04.17 04:12:22,4770.0,30.0,5.36,5.359999999999964,time,-3.6415315207705135e-14,other,,
77838503,market,buy,2026.04.17 04:12:20,4775.0,10.0,0.28,-5.18,sl,-5.46,other,,
77838489,market,buy,2026.04.17 04:12:20,4775.0,20.0,0.98,-5.18,sl,-6.16,other,,
77838467,market,buy,2026.04.17 04:12:20,4775.0,30.0,94.97,-5.18,sl,-100.15,tp,,
77587972,market,buy,2026.04.16 17:40:50,4781.0,10.0,-5.09,9.82,tp,14.91,sl,,
77587977,market,buy,2026.04.16 17:40:50,4781.0,20.0,-5.09,-5.089999999999854,time,1.4566126083082054e-13,sl,,
77587968,market,buy,2026.04.16 17:40:50,4781.0,30.0,-5.09,-5.089999999999854,time,1.4566126083082054e-13,sl,,
77790083,market,buy,2026.04.16 16:55:23,4790.0,10.0,-3.49,-3.4900000000004003,time,-4.001243780749064e-13,sl,,
77790124,market,buy,2026.04.16 16:55:23,4790.0,20.0,-3.49,-3.4900000000004003,time,-4.001243780749064e-13,sl,,
77790131,market,buy,2026.04.16 16:55:23,4790.0,30.0,-3.49,-3.4900000000004003,time,-4.001243780749064e-13,sl,,
77761433,market,buy,2026.04.16 11:05:02,4811.0,10.0,-3.5900000000000003,-3.5899999999998546,time,1.4566126083082054e-13,sl,,
77761465,market,buy,2026.04.16 11:05:02,4811.0,20.0,-3.5900000000000003,-3.5899999999998546,time,1.4566126083082054e-13,sl,,
77761490,market,buy,2026.04.16 11:05:02,4811.0,30.0,-3.5900000000000003,-3.5899999999998546,time,1.4566126083082054e-13,sl,,
77654348,market,buy,2026.04.15 18:31:24,4789.5,10.0,10.32,9.82,tp,-0.5,tp,,
77654439,market,buy,2026.04.15 18:31:24,4789.5,20.0,-4.74,18.37,tp,23.11,sl,,
77684041,market,buy,2026.04.15 18:07:33,4803.62,10.0,-3.5100000000000002,-3.5099999999999274,time,7.283063041541027e-14,sl,,
77683996,market,buy,2026.04.15 18:07:33,4803.62,20.0,-3.5100000000000002,-3.5099999999999274,time,7.283063041541027e-14,sl,,
77684068,market,buy,2026.04.15 18:07:33,4803.62,30.0,-3.5100000000000002,-3.5099999999999274,time,7.283063041541027e-14,sl,,
77638680,market,buy,2026.04.15 12:11:01,4799.11,10.0,-3.4200000000000004,-3.419999999999782,time,2.184918912462308e-13,sl,,
77638710,market,buy,2026.04.15 12:11:01,4799.11,20.0,-3.4200000000000004,-3.419999999999782,time,2.184918912462308e-13,sl,,
77506113,market,buy,2026.04.14 13:39:02,4760.0,10.0,-6.38,-6.379999999999818,time,1.8207657603852567e-13,sl,,
77506065,market,buy,2026.04.14 13:39:02,4760.0,20.0,-6.38,-6.379999999999818,time,1.8207657603852567e-13,sl,,
77258643,market,sell,2026.04.10 15:32:10,4777.0,10.0,-3.2800000000000002,-5.18,sl,-1.8999999999999995,sl,,
77258657,market,sell,2026.04.10 15:32:10,4777.0,20.0,-3.2800000000000002,-5.18,sl,-1.8999999999999995,sl,,
77258627,market,sell,2026.04.10 15:32:10,4777.0,30.0,-3.2800000000000002,-5.18,sl,-1.8999999999999995,sl,,
77191681,market,buy,2026.04.10 05:31:05,4741.19,10.0,10.67,9.82,tp,-0.8499999999999996,tp,,
77191618,market,buy,2026.04.10 05:31:05,4741.19,20.0,-6.5,19.82,tp,26.32,sl,,
77191651,market,buy,2026.04.10 05:31:05,4741.19,30.0,-6.5,-5.18,sl,1.3200000000000003,sl,,
77207234,market,buy,2026.04.09 23:42:04,4762.0,10.0,-3.8400000000000003,9.34,tp,13.18,sl,,
77207221,market,buy,2026.04.09 23:42:04,4762.0,20.0,-3.8400000000000003,-3.840000000000291,time,-2.90878432451791e-13,sl,,
77207201,market,buy,2026.04.09 23:42:04,4762.0,30.0,9.78,9.7799999999996,time,-3.9968028886505635e-13,tp,,
77174589,market,sell,2026.04.09 14:49:11,4756.96,10.0,-3.35,9.82,tp,13.17,sl,,
77174670,market,sell,2026.04.09 14:49:11,4756.96,20.0,-3.35,19.82,tp,23.17,sl,,
77174548,market,sell,2026.04.09 14:49:11,4756.96,30.0,9.81,9.809999999999782,time,-2.184918912462308e-13,tp,,
77108374,market,sell,2026.04.09 13:52:03,4745.93,10.0,-3.3000000000000003,-5.18,sl,-1.8799999999999994,sl,,
77108351,market,sell,2026.04.09 13:52:03,4745.93,20.0,-3.3000000000000003,-5.18,sl,-1.8799999999999994,sl,,
77108338,market,sell,2026.04.09 13:24:47,4737.0,10.0,-3.3400000000000003,-3.3399999999998546,time,1.4566126083082054e-13,sl,,
77108332,market,sell,2026.04.09 13:24:47,4737.0,20.0,-3.3400000000000003,-3.3399999999998546,time,1.4566126083082054e-13,sl,,
77088862,market,buy,2026.04.08 21:18:45,4723.0,10.0,-3.68,-3.68,time,0.0,sl,,
