ticket,direction,open_time,orig_limit_price,entry,filled,sl5_net,sl5_exit,sl7_net,sl7_exit,fill_time_m5,sl5_price,sl7_price,sl5_at_orig,tp20_price,delta_sl7_minus_sl5
80873280,buy,2026.05.20 16:08:25,4465.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80873249,buy,2026.05.20 16:08:09,4466.0,4468.0,True,19.82,tp,19.82,tp,2026-05-20 14:10:00,4463.0,4461.0,4461.0,4488.0,0.0
80873171,buy,2026.05.20 16:07:31,4467.0,4469.0,True,19.82,tp,19.82,tp,2026-05-20 14:10:00,4464.0,4462.0,4462.0,4489.0,0.0
80749349,sell,2026.05.19 16:42:26,4517.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
80749246,sell,2026.05.19 16:42:05,4516.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
80749150,sell,2026.05.19 16:41:46,4515.5,4513.5,True,19.82,tp,19.82,tp,2026-05-19 14:05:00,4518.5,4520.5,4520.5,4493.5,0.0
80735996,sell,2026.05.19 15:59:45,4572.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80735997,sell,2026.05.19 15:59:45,4573.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80735853,sell,2026.05.19 15:57:42,4571.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80721005,sell,2026.05.19 13:37:55,4597.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80720970,sell,2026.05.19 13:37:39,4596.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80720962,sell,2026.05.19 13:37:13,4595.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80720375,sell,2026.05.19 13:22:54,4587.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80720359,sell,2026.05.19 13:22:37,4586.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80720351,sell,2026.05.19 13:22:17,4585.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80667126,sell,2026.05.19 05:10:04,4581.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80667079,sell,2026.05.19 05:09:41,4580.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80667003,sell,2026.05.19 05:09:20,4579.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80615999,buy,2026.05.18 16:18:51,4515.0,4517.0,True,-5.18,sl,-7.18,sl,2026-05-19 13:05:00,4512.0,4510.0,4510.0,4537.0,-2.0
80615982,buy,2026.05.18 16:18:34,4514.0,4516.0,True,-5.18,sl,-7.18,sl,2026-05-19 13:05:00,4511.0,4509.0,4509.0,4536.0,-2.0
80615968,buy,2026.05.18 16:18:20,4513.0,4515.0,True,-5.18,sl,-7.18,sl,2026-05-19 13:05:00,4510.0,4508.0,4508.0,4535.0,-2.0
80614621,sell,2026.05.18 16:04:45,4597.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80614445,sell,2026.05.18 16:03:34,4596.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80614256,sell,2026.05.18 16:02:35,4595.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80577101,buy,2026.05.18 10:09:17,4501.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80576994,buy,2026.05.18 10:08:45,4502.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80576971,buy,2026.05.18 10:08:18,4503.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80576933,sell,2026.05.18 10:07:40,4583.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80576918,sell,2026.05.18 10:07:25,4582.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80576897,sell,2026.05.18 10:07:02,4581.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80513250,sell,2026.05.18 01:21:31,4621.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80513192,sell,2026.05.18 01:21:00,4620.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80513134,sell,2026.05.18 01:20:25,4619.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80468142,sell,2026.05.15 16:03:32,4575.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80468096,sell,2026.05.15 16:03:09,4574.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80468032,sell,2026.05.15 16:02:53,4573.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80448448,sell,2026.05.15 12:58:35,4574.0,4572.0,True,19.82,tp,19.82,tp,2026-05-15 10:50:00,4577.0,4579.0,4579.0,4552.0,0.0
80448423,sell,2026.05.15 12:58:17,4573.0,4571.0,True,19.82,tp,19.82,tp,2026-05-15 10:50:00,4576.0,4578.0,4578.0,4551.0,0.0
80364068,sell,2026.05.15 01:20:17,4682.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80364021,sell,2026.05.15 01:19:58,4681.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80364006,sell,2026.05.15 01:19:28,4680.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80323679,sell,2026.05.14 15:53:00,4730.3,,False,0.0,no_fill,0.0,no_fill,,,,,,
80323642,sell,2026.05.14 15:52:43,4729.3,,False,0.0,no_fill,0.0,no_fill,,,,,,
80323605,sell,2026.05.14 15:52:12,4728.3,,False,0.0,no_fill,0.0,no_fill,,,,,,
80233903,buy,2026.05.13 19:13:34,4662.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80233891,buy,2026.05.13 19:13:16,4663.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80233869,buy,2026.05.13 19:12:53,4664.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80211910,sell,2026.05.13 16:09:44,4710.5,4708.5,True,19.82,tp,19.82,tp,2026-05-13 16:20:00,4713.5,4715.5,4715.5,4688.5,0.0
80194917,buy,2026.05.13 13:10:04,4661.3,,False,0.0,no_fill,0.0,no_fill,,,,,,
80194819,buy,2026.05.13 13:09:49,4662.3,,False,0.0,no_fill,0.0,no_fill,,,,,,
80194493,buy,2026.05.13 13:08:27,4663.3,,False,0.0,no_fill,0.0,no_fill,,,,,,
80194206,sell,2026.05.13 13:05:41,4717.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80194191,sell,2026.05.13 13:05:24,4716.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80194165,sell,2026.05.13 13:04:57,4715.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80178334,sell,2026.05.13 10:03:44,4714.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80178269,sell,2026.05.13 10:03:15,4713.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80166150,sell,2026.05.13 07:59:03,4735.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
80166133,sell,2026.05.13 07:58:40,4734.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
80166061,sell,2026.05.13 07:57:53,4733.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
80165949,sell,2026.05.13 07:55:12,4715.5,4713.5,True,19.82,tp,19.82,tp,2026-05-13 06:15:00,4718.5,4720.5,4720.5,4693.5,0.0
80165927,sell,2026.05.13 07:54:59,4714.5,4712.5,True,19.82,tp,19.82,tp,2026-05-13 06:05:00,4717.5,4719.5,4719.5,4692.5,0.0
80073464,buy,2026.05.12 12:58:09,4674.0,4676.0,True,-5.18,sl,-7.18,sl,2026-05-12 14:00:00,4671.0,4669.0,4669.0,4696.0,-2.0
80073456,buy,2026.05.12 12:57:47,4675.0,4677.0,True,-5.18,sl,-7.18,sl,2026-05-12 13:55:00,4672.0,4670.0,4670.0,4697.0,-2.0
80073414,buy,2026.05.12 12:57:07,4676.0,4678.0,True,-5.18,sl,-7.18,sl,2026-05-12 13:55:00,4673.0,4671.0,4671.0,4698.0,-2.0
80060002,sell,2026.05.12 10:14:11,4734.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80059980,sell,2026.05.12 10:13:57,4733.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80059812,sell,2026.05.12 10:12:14,4732.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80059211,buy,2026.05.12 10:09:05,4687.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80059132,buy,2026.05.12 10:08:45,4688.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80059093,buy,2026.05.12 10:08:27,4689.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79876322,buy,2026.05.11 01:14:46,4612.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79876277,buy,2026.05.11 01:14:25,4613.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79876226,buy,2026.05.11 01:14:00,4614.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79818360,buy,2026.05.08 14:24:24,4645.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79818353,buy,2026.05.08 14:24:06,4646.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79818333,buy,2026.05.08 14:23:28,4647.0,4649.0,True,19.82,tp,19.82,tp,2026-05-11 05:55:00,4644.0,4642.0,4642.0,4669.0,0.0
79811095,buy,2026.05.08 12:52:31,4704.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79811080,buy,2026.05.08 12:52:23,4705.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79811037,buy,2026.05.08 12:52:11,4706.0,4708.0,True,19.82,tp,19.82,tp,2026-05-08 09:55:00,4703.0,4701.0,4701.0,4728.0,0.0
79788132,buy,2026.05.08 09:04:01,4714.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79788025,buy,2026.05.08 09:03:36,4714.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79775448,buy,2026.05.08 06:04:24,4688.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79775424,buy,2026.05.08 06:04:07,4688.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79765188,buy,2026.05.08 04:05:57,4659.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
79765143,buy,2026.05.08 04:05:44,4664.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
79765103,buy,2026.05.08 04:05:24,4669.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
79583913,buy,2026.05.06 13:35:41,4650.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
79583899,buy,2026.05.06 13:35:24,4615.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79583877,buy,2026.05.06 13:35:04,4654.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
79557466,buy,2026.05.06 10:01:42,4620.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79557406,buy,2026.05.06 10:01:27,4625.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79557384,buy,2026.05.06 10:01:13,4614.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
79557214,buy,2026.05.06 10:00:12,4647.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79557091,buy,2026.05.06 09:59:49,4652.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79556977,buy,2026.05.06 09:59:34,4657.0,4659.0,True,19.82,tp,19.82,tp,2026-05-06 07:10:00,4654.0,4652.0,4652.0,4679.0,0.0
79542903,buy,2026.05.06 07:17:18,4607.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79542891,buy,2026.05.06 07:17:06,4607.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79542880,buy,2026.05.06 07:16:54,4607.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79542871,buy,2026.05.06 07:16:39,4617.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79542854,buy,2026.05.06 07:16:24,4617.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79542833,buy,2026.05.06 07:16:12,4617.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79542815,buy,2026.05.06 07:15:55,4627.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79542781,buy,2026.05.06 07:15:39,4627.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79542760,buy,2026.05.06 07:15:27,4627.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79539629,buy,2026.05.06 06:27:52,4602.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79539607,buy,2026.05.06 06:27:33,4607.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79539551,buy,2026.05.06 06:26:56,4612.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79525900,buy,2026.05.06 04:00:33,4576.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79525784,buy,2026.05.06 04:00:10,4581.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79525599,buy,2026.05.06 03:59:42,4586.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79484836,buy,2026.05.05 16:34:38,4566.0,4568.0,True,-5.18,sl,-7.18,sl,2026-05-05 14:15:00,4563.0,4561.0,4561.0,4588.0,-2.0
79461298,buy,2026.05.05 12:32:02,4506.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79461269,buy,2026.05.05 12:31:39,4511.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79461253,buy,2026.05.05 12:31:23,4516.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79360706,buy,2026.05.04 14:03:39,4536.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79360655,buy,2026.05.04 14:03:19,4541.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79360093,buy,2026.05.04 14:00:39,4546.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79249337,buy,2026.05.01 16:29:57,4561.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79249288,buy,2026.05.01 16:29:28,4561.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79249189,buy,2026.05.01 16:28:50,4571.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79249166,buy,2026.05.01 16:28:28,4571.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79186734,buy,2026.05.01 01:17:16,4556.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79131537,buy,2026.04.30 13:00:01,4576.2,,False,0.0,no_fill,0.0,no_fill,,,,,,
79131493,buy,2026.04.30 12:59:36,4578.2,,False,0.0,no_fill,0.0,no_fill,,,,,,
79131468,buy,2026.04.30 12:59:04,4580.2,,False,0.0,no_fill,0.0,no_fill,,,,,,
79091798,buy,2026.04.30 06:43:06,4513.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79091765,buy,2026.04.30 06:42:54,4515.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
79091716,buy,2026.04.30 06:42:01,4517.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78991292,buy,2026.04.29 12:09:21,4368.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
78991270,buy,2026.04.29 12:09:07,4370.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
78991230,buy,2026.04.29 12:08:33,4372.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
78991208,buy,2026.04.29 12:08:09,4378.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
78991194,buy,2026.04.29 12:07:53,4380.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
78991163,buy,2026.04.29 12:07:29,4382.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
78991056,buy,2026.04.29 12:06:34,4388.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
78991027,buy,2026.04.29 12:06:18,4390.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
78990980,buy,2026.04.29 12:05:39,4392.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
78828637,sell,2026.04.28 10:31:41,4660.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78828614,sell,2026.04.28 10:31:29,4658.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78828600,sell,2026.04.28 10:31:17,4656.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78780499,sell,2026.04.28 01:08:10,4711.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78780480,sell,2026.04.28 01:07:57,4713.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78780472,sell,2026.04.28 01:07:34,4715.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78666382,sell,2026.04.27 01:17:36,4731.4,4729.4,True,19.82,tp,19.82,tp,2026-04-27 03:40:00,4734.4,4736.4,4736.4,4709.4,0.0
78666345,sell,2026.04.27 01:16:18,4733.4,,False,0.0,no_fill,0.0,no_fill,,,,,,
78466503,buy,2026.04.23 12:37:44,4603.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78466481,buy,2026.04.23 12:37:35,4605.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78466458,buy,2026.04.23 12:37:22,4607.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78466433,buy,2026.04.23 12:37:09,4613.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78466325,buy,2026.04.23 12:35:49,4615.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78466319,buy,2026.04.23 12:35:39,4617.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78466307,buy,2026.04.23 12:35:25,4623.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78466299,buy,2026.04.23 12:35:15,4625.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78466272,buy,2026.04.23 12:34:52,4627.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78461845,sell,2026.04.23 11:57:38,4740.8,,False,0.0,no_fill,0.0,no_fill,,,,,,
78461780,sell,2026.04.23 11:56:50,4738.8,,False,0.0,no_fill,0.0,no_fill,,,,,,
78461768,sell,2026.04.23 11:56:34,4736.8,,False,0.0,no_fill,0.0,no_fill,,,,,,
78382729,sell,2026.04.22 19:08:28,4754.0,4752.0,True,19.82,tp,19.82,tp,2026-04-23 00:30:00,4757.0,4759.0,4759.0,4732.0,0.0
78382512,buy,2026.04.22 19:05:57,4659.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
78382372,buy,2026.04.22 19:05:03,4661.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
78382342,buy,2026.04.22 19:04:48,4663.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
78381406,buy,2026.04.22 18:53:41,4702.8,,False,0.0,no_fill,0.0,no_fill,,,,,,
78381379,buy,2026.04.22 18:53:19,4704.8,,False,0.0,no_fill,0.0,no_fill,,,,,,
78381365,buy,2026.04.22 18:53:03,4706.8,,False,0.0,no_fill,0.0,no_fill,,,,,,
78309453,buy,2026.04.22 06:34:45,4686.64,,False,0.0,no_fill,0.0,no_fill,,,,,,
78309426,buy,2026.04.22 06:34:19,4688.64,,False,0.0,no_fill,0.0,no_fill,,,,,,
78309391,buy,2026.04.22 06:33:47,4690.64,,False,0.0,no_fill,0.0,no_fill,,,,,,
78309172,buy,2026.04.22 06:31:55,4696.64,,False,0.0,no_fill,0.0,no_fill,,,,,,
78309049,buy,2026.04.22 06:30:24,4698.64,,False,0.0,no_fill,0.0,no_fill,,,,,,
78308805,buy,2026.04.22 06:29:27,4700.64,,False,0.0,no_fill,0.0,no_fill,,,,,,
78308474,buy,2026.04.22 06:26:14,4706.64,,False,0.0,no_fill,0.0,no_fill,,,,,,
78308358,buy,2026.04.22 06:24:40,4708.64,,False,0.0,no_fill,0.0,no_fill,,,,,,
78308318,buy,2026.04.22 06:24:11,4710.64,,False,0.0,no_fill,0.0,no_fill,,,,,,
78256448,sell,2026.04.21 19:19:44,4772.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78256422,sell,2026.04.21 19:19:24,4770.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78256396,sell,2026.04.21 19:19:01,4768.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78248105,sell,2026.04.21 18:24:04,4763.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78248049,sell,2026.04.21 18:23:47,4761.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78248006,sell,2026.04.21 18:23:32,4759.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78244240,buy,2026.04.21 18:05:43,4663.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78244122,buy,2026.04.21 18:05:27,4665.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78244068,buy,2026.04.21 18:05:12,4667.0,4669.0,True,19.82,tp,19.82,tp,2026-04-21 19:40:00,4664.0,4662.0,4662.0,4689.0,0.0
78077642,buy,2026.04.20 16:05:32,4773.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78077605,buy,2026.04.20 16:05:18,4780.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78077558,buy,2026.04.20 16:04:49,4787.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78050146,sell,2026.04.20 11:31:44,4823.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78050128,sell,2026.04.20 11:31:33,4818.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78050110,sell,2026.04.20 11:31:19,4813.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78049948,buy,2026.04.20 11:30:08,4750.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78049906,buy,2026.04.20 11:29:54,4755.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
78049892,buy,2026.04.20 11:29:40,4760.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
77922050,buy,2026.04.17 16:06:19,4821.7,,False,0.0,no_fill,0.0,no_fill,,,,,,
77854374,sell,2026.04.17 05:03:22,4815.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
77854370,sell,2026.04.17 05:03:16,4810.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
77822473,buy,2026.04.16 18:57:12,4786.0,4788.0,True,-5.18,sl,8.102000000000153,time,2026-04-16 16:30:00,4783.0,4781.0,4781.0,4808.0,13.282000000000153
77822415,buy,2026.04.16 18:56:58,4786.0,4788.0,True,-5.18,sl,8.102000000000153,time,2026-04-16 16:30:00,4783.0,4781.0,4781.0,4808.0,13.282000000000153
77822366,buy,2026.04.16 18:56:44,4786.0,4788.0,True,-5.18,sl,8.102000000000153,time,2026-04-16 16:30:00,4783.0,4781.0,4781.0,4808.0,13.282000000000153
77768685,buy,2026.04.16 11:24:54,4804.5,4806.5,True,-5.18,sl,-7.18,sl,2026-04-16 08:30:00,4801.5,4799.5,4799.5,4826.5,-2.0
77768524,buy,2026.04.16 11:22:49,4804.5,4806.5,True,-5.18,sl,-7.18,sl,2026-04-16 08:30:00,4801.5,4799.5,4799.5,4826.5,-2.0
77768508,buy,2026.04.16 11:22:37,4804.5,4806.5,True,-5.18,sl,-7.18,sl,2026-04-16 08:30:00,4801.5,4799.5,4799.5,4826.5,-2.0
77654656,buy,2026.04.15 12:49:36,4754.8,,False,0.0,no_fill,0.0,no_fill,,,,,,
77654545,buy,2026.04.15 12:49:00,4765.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
77654485,buy,2026.04.15 12:48:26,4765.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
77587963,buy,2026.04.14 23:56:44,4803.0,4805.0,True,-5.18,sl,-7.18,sl,2026-04-15 07:00:00,4800.0,4798.0,4798.0,4825.0,-2.0
77587957,buy,2026.04.14 23:56:27,4803.0,4805.0,True,-5.18,sl,-7.18,sl,2026-04-15 07:00:00,4800.0,4798.0,4798.0,4825.0,-2.0
77565250,buy,2026.04.14 17:56:43,4803.0,4805.0,True,-5.18,sl,-7.18,sl,2026-04-14 15:00:00,4800.0,4798.0,4798.0,4825.0,-2.0
77565076,buy,2026.04.14 17:55:46,4820.0,4822.0,True,-5.18,sl,-7.18,sl,2026-04-14 15:00:00,4817.0,4815.0,4815.0,4842.0,-2.0
77565031,buy,2026.04.14 17:55:31,4820.0,4822.0,True,-5.18,sl,-7.18,sl,2026-04-14 15:00:00,4817.0,4815.0,4815.0,4842.0,-2.0
77543604,buy,2026.04.14 15:52:23,4751.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
77543570,buy,2026.04.14 15:52:13,4751.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
77543429,buy,2026.04.14 15:51:53,4751.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
77517933,buy,2026.04.14 11:59:51,4770.0,4772.0,True,-5.18,sl,-7.18,sl,2026-04-14 09:30:00,4767.0,4765.0,4765.0,4792.0,-2.0
77517917,buy,2026.04.14 11:59:39,4770.0,4772.0,True,-5.18,sl,-7.18,sl,2026-04-14 09:30:00,4767.0,4765.0,4765.0,4792.0,-2.0
77467092,buy,2026.04.14 01:16:27,4675.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
77467083,buy,2026.04.14 01:16:06,4675.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
77448567,buy,2026.04.13 18:57:23,4675.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
77448535,buy,2026.04.13 18:57:11,4685.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
77448492,buy,2026.04.13 18:56:57,4685.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
77448476,buy,2026.04.13 18:56:44,4685.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
77425506,sell,2026.04.13 16:34:01,4770.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
77425435,sell,2026.04.13 16:33:43,4770.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
77398166,sell,2026.04.13 13:02:36,4750.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
77398156,sell,2026.04.13 13:02:19,4750.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
